                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                     1273                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1552404956191266E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1552404956191266E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1336453901886667E+000                  7.3511385779938808E-006                 -5.1336453901886667E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.1336453901886667E+000                  7.3511385779938808E-006                 -5.1336453902099199E+000                 -1.5444011597510242E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6481371102003362E+000                  1.1841533972781404E-001                  2.8558661032773075E-001                  3.8668944066476714E+000                  0.0000000000000000E+000                  1.4814105267873948E+001                  8.6256897628866083E-002                  6.5971033193585944E+000                  6.1227331037352140E-001                  8.5900475343229010E-001                  1.2724973475622736E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503068E-003                  6.5663693516046793E-003                  7.1800000000000019E-001                  2.6797147940625982E-001                                        0                                        2 
                                       5                                     1278                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1296772637835891E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1296772637835891E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1336453901499279E+000                  7.3511385786496029E-006                 -5.1336453901499279E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1336453901499279E+000                  7.3511385786496029E-006                 -5.1336453901711803E+000                 -1.5444011597395200E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6481551120366889E+000                  1.1848737896144726E-001                  2.8558662627184239E-001                  3.8668943747594482E+000                  0.0000000000000000E+000                  1.4814105267891028E+001                  8.6256897642798022E-002                  6.5971033193617536E+000                  6.1227331037351995E-001                  8.5900475343229010E-001                  1.2724973475622736E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503068E-003                  6.5663693516046793E-003                  7.1800000000000019E-001                  2.6797147940625982E-001                                        0                                        2 
                                      10                                     1278                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1387138761630568E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1387138761630568E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1336453900176533E+000                  7.3511385808885685E-006                 -5.1336453900176533E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.1336453900176533E+000                  7.3511385808885685E-006                 -5.1336453900389056E+000                 -1.5444011596988496E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6481542280066872E+000                  1.1848383482255243E-001                  2.8558662226239867E-001                  3.8668943827783360E+000                  0.0000000000000000E+000                  1.4814105267946879E+001                  8.6256897686889378E-002                  6.5971033193735202E+000                  6.1227331037351562E-001                  8.5900475343229010E-001                  1.2724973475622736E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503068E-003                  6.5663693516046793E-003                  7.1800000000000019E-001                  2.6797147940625982E-001                                        0                                        2 
                                      15                                     1278                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1574169888920591E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1574169888920591E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1336453896696588E+000                  7.3511385867789381E-006                 -5.1336453896696588E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1336453896696588E+000                  7.3511385867789381E-006                 -5.1336453896909111E+000                 -1.5444011595906945E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6481540052258090E+000                  1.1848294070666200E-001                  2.8558662076620989E-001                  3.8668943857707134E+000                  0.0000000000000000E+000                  1.4814105268091769E+001                  8.6256897800135554E-002                  6.5971033194051554E+000                  6.1227331037350319E-001                  8.5900475343229010E-001                  1.2724973475622736E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503068E-003                  6.5663693516046793E-003                  7.1800000000000019E-001                  2.6797147940625982E-001                                        0                                        2 
                                      20                                     1278                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1628847131797854E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1628847131797854E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1336453887839513E+000                  7.3511386017709749E-006                 -5.1336453887839504E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1336453887839513E+000                  7.3511386017709749E-006                 -5.1336453888052036E+000                 -1.5444011593142635E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6481539565008290E+000                  1.1848274479103761E-001                  2.8558662025835801E-001                  3.8668943867864169E+000                  0.0000000000000000E+000                  1.4814105268458523E+001                  8.6256898085623659E-002                  6.5971033194863784E+000                  6.1227331037347099E-001                  8.5900475343229010E-001                  1.2724973475622736E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503068E-003                  6.5663693516046793E-003                  7.1800000000000019E-001                  2.6797147940625982E-001                                        0                                        2 
                                      25                                     1278                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1584096727589566E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1584096727589566E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1336453865585456E+000                  7.3511386394395685E-006                 -5.1336453865585456E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1336453865585456E+000                  7.3511386394395685E-006                 -5.1336453865797989E+000                 -1.5444011586185704E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6481539508969285E+000                  1.1848272178655531E-001                  2.8558661996391721E-001                  3.8668943873752988E+000                  0.0000000000000000E+000                  1.4814105269377762E+001                  8.6256898800001550E-002                  6.5971033196911320E+000                  6.1227331037339061E-001                  8.5900475343229010E-001                  1.2724973475622736E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503068E-003                  6.5663693516046793E-003                  7.1800000000000019E-001                  2.6797147940625982E-001                                        0                                        2 
                                      30                                     1278                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1563048747032975E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1563048747032975E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1336453809997158E+000                  7.3511387335317796E-006                 -5.1336453809997158E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.1336453809997158E+000                  7.3511387335317796E-006                 -5.1336453810209690E+000                 -1.5444011568797110E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6481539505290823E+000                  1.1848271914303417E-001                  2.8558661937784985E-001                  3.8668943885474332E+000                  0.0000000000000000E+000                  1.4814105271671806E+001                  8.6256900581566862E-002                  6.5971033202033187E+000                  6.1227331037318888E-001                  8.5900475343229010E-001                  1.2724973475622736E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503068E-003                  6.5663693516046793E-003                  7.1800000000000019E-001                  2.6797147940625982E-001                                        0                                        2 
                                      35                                     1278                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1556004953560120E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1556004953560120E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1336453671475226E+000                  7.3511389680026382E-006                 -5.1336453671475226E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1336453671475226E+000                  7.3511389680026382E-006                 -5.1336453671687750E+000                 -1.5444011525456228E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6481539503289149E+000                  1.1848271545567926E-001                  2.8558661793450629E-001                  3.8668943914341205E+000                  0.0000000000000000E+000                  1.4814105277386380E+001                  8.6256905018429114E-002                  6.5971033214802874E+000                  6.1227331037268562E-001                  8.5900475343228999E-001                  1.2724973475622736E+000                  7.1799999999999975E-001                  2.6797147940625959E-001                  2.4128183525503081E-003                  6.5663693516046775E-003                  2.4128183525503068E-003                  6.5663693516046793E-003                  7.1800000000000019E-001                  2.6797147940625982E-001                                        0                                        2 
                                      40                                     1278                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1555220321330154E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1555220321330154E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1336453326591309E+000                  7.3511395517746555E-006                 -5.1336453326591318E+000                 -9.8999999999999986E+001                 -2.0470039705150718E+001                 -5.1336453326591309E+000                  7.3511395517746555E-006                 -5.1336453326803841E+000                 -1.5444011417538368E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6481539499862157E+000                  1.1848270693074486E-001                  2.8558661435743926E-001                  3.8668943985882547E+000                  0.0000000000000000E+000                  1.4814105291612346E+001                  8.6256916062501354E-002                  6.5971033246603081E+000                  6.1227331037143262E-001                  8.5900475343228999E-001                  1.2724973475622736E+000                  7.1799999999999975E-001                  2.6797147940625959E-001                  2.4128183525503081E-003                  6.5663693516046775E-003                  2.4128183525503068E-003                  6.5663693516046793E-003                  7.1800000000000019E-001                  2.6797147940625982E-001                                        0                                        2 
                                      45                                     1278                  1.8281309940044158E-001                 -1.5160251739045081E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1554404004343758E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999905215031E-001                  4.1554404004343758E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1336452468192508E+000                  7.3511410047542031E-006                 -5.1336452468192508E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1336452468192508E+000                  7.3511410047542031E-006                 -5.1336452468405041E+000                 -1.5444011148921719E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6481539492491724E+000                  1.1848268621382850E-001                  2.8558660547306719E-001                  3.8668944163569989E+000                  0.0000000000000000E+000                  1.4814105327018364E+001                  8.6256943548002396E-002                  6.5971033325761379E+000                  6.1227331036831334E-001                  8.5900475343228999E-001                  1.2724973475622741E+000                  7.1799999999999953E-001                  2.6797147940625954E-001                  2.4128183525503081E-003                  6.5663693516046749E-003                  2.4128183525503068E-003                  6.5663693516046793E-003                  7.1800000000000019E-001                  2.6797147940625982E-001                                        0                                        2 
