                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                     1302                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.9946051117204331E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.9946051117204331E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2065147112140595E+000                  6.2156319267484529E-006                 -5.2065147112140595E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2065147112140595E+000                  6.2156319267484529E-006                 -5.2065147112739298E+000                 -1.5067089160522928E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6372789670133767E+000                  1.0253964048114640E-001                  2.9936504707831663E-001                  3.8393375331464998E+000                  0.0000000000000000E+000                  1.4761954853727453E+001                  4.6496657559643148E-002                  6.6016917272346101E+000                  6.3676329860954151E-001                  8.3500532100629510E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792327E-003                  1.4070791467724270E-002                  5.1703250411792344E-003                  1.4070791467724263E-002                  6.7000000000000037E-001                  2.9996807396223085E-001                                        0                                        2 
                                       5                                     1310                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.8936905781919063E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.8936905781919063E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2065147111752417E+000                  6.2156319273040176E-006                 -5.2065147111752417E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2065147111752417E+000                  6.2156319273040176E-006                 -5.2065147112351111E+000                 -1.5067089160414641E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6372888587708330E+000                  1.0257923218085765E-001                  2.9936505941325919E-001                  3.8393375084766146E+000                  0.0000000000000000E+000                  1.4761954853744832E+001                  4.6496657573599338E-002                  6.6016917272380420E+000                  6.3676329860953895E-001                  8.3500532100629510E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792327E-003                  1.4070791467724270E-002                  5.1703250411792344E-003                  1.4070791467724263E-002                  6.7000000000000037E-001                  2.9996807396223085E-001                                        0                                        2 
                                      10                                     1310                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.8864504488007210E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.8864504488007210E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2065147110453838E+000                  6.2156319291625451E-006                 -5.2065147110453838E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2065147110453838E+000                  6.2156319291625451E-006                 -5.2065147111052541E+000                 -1.5067089160035341E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6372884079816012E+000                  1.0257742460053208E-001                  2.9936505720156098E-001                  3.8393375129000109E+000                  0.0000000000000000E+000                  1.4761954853800427E+001                  4.6496657617104351E-002                  6.6016917272501283E+000                  6.3676329860952841E-001                  8.3500532100629510E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792327E-003                  1.4070791467724270E-002                  5.1703250411792344E-003                  1.4070791467724263E-002                  6.7000000000000037E-001                  2.9996807396223085E-001                                        0                                        2 
                                      15                                     1310                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.8851044520806716E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.8851044520806716E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2065147107014527E+000                  6.2156319340848899E-006                 -5.2065147107014527E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.2065147107014527E+000                  6.2156319340848899E-006                 -5.2065147107613230E+000                 -1.5067089159008793E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6372883059024379E+000                  1.0257701481341813E-001                  2.9936505646632994E-001                  3.8393375143704729E+000                  0.0000000000000000E+000                  1.4761954853945161E+001                  4.6496657729196124E-002                  6.6016917272827591E+000                  6.3676329860950032E-001                  8.3500532100629510E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792327E-003                  1.4070791467724270E-002                  5.1703250411792344E-003                  1.4070791467724263E-002                  6.7000000000000037E-001                  2.9996807396223085E-001                                        0                                        2 
                                      20                                     1310                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.8859475187468866E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.8859475187468866E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2065147098248117E+000                  6.2156319466313969E-006                 -5.2065147098248117E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2065147098248117E+000                  6.2156319466313969E-006                 -5.2065147098846820E+000                 -1.5067089156349727E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6372882864208629E+000                  1.0257693638348124E-001                  2.9936505621451243E-001                  3.8393375148741082E+000                  0.0000000000000000E+000                  1.4761954854311215E+001                  4.6496658011613089E-002                  6.6016917273663269E+000                  6.3676329860942849E-001                  8.3500532100629510E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792327E-003                  1.4070791467724270E-002                  5.1703250411792344E-003                  1.4070791467724263E-002                  6.7000000000000037E-001                  2.9996807396223085E-001                                        0                                        2 
                                      25                                     1310                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.8911792429098131E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.8911792429098131E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2065147076202454E+000                  6.2156319781831946E-006                 -5.2065147076202454E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2065147076202454E+000                  6.2156319781831946E-006                 -5.2065147076801157E+000                 -1.5067089149554878E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6372882853214432E+000                  1.0257693152727590E-001                  2.9936505598524937E-001                  3.8393375153326343E+000                  0.0000000000000000E+000                  1.4761954855227106E+001                  4.6496658717382316E-002                  6.6016917275762719E+000                  6.3676329860924752E-001                  8.3500532100629510E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792327E-003                  1.4070791467724270E-002                  5.1703250411792344E-003                  1.4070791467724263E-002                  6.7000000000000037E-001                  2.9996807396223085E-001                                        0                                        2 
                                      30                                     1310                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.9093189174489501E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.9093189174489501E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2065147021065874E+000                  6.2156320570947838E-006                 -5.2065147021065883E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.2065147021065874E+000                  6.2156320570947838E-006                 -5.2065147021664577E+000                 -1.5067089132333757E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6372882855637672E+000                  1.0257693136576319E-001                  2.9936505541984487E-001                  3.8393375164634431E+000                  0.0000000000000000E+000                  1.4761954857509275E+001                  4.6496660475431703E-002                  6.6016917280999508E+000                  6.3676329860879555E-001                  8.3500532100629510E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792327E-003                  1.4070791467724270E-002                  5.1703250411792344E-003                  1.4070791467724263E-002                  6.7000000000000037E-001                  2.9996807396223085E-001                                        0                                        2 
                                      35                                     1310                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.9466676143810093E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.9466676143810093E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2065146883512110E+000                  6.2156322539620416E-006                 -5.2065146883512110E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2065146883512110E+000                  6.2156322539620416E-006                 -5.2065146884110804E+000                 -1.5067089089020973E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6372882854989799E+000                  1.0257692824621910E-001                  2.9936505398964697E-001                  3.8393375193238390E+000                  0.0000000000000000E+000                  1.4761954863187718E+001                  4.6496664849777145E-002                  6.6016917294029334E+000                  6.3676329860767145E-001                  8.3500532100629510E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792327E-003                  1.4070791467724270E-002                  5.1703250411792344E-003                  1.4070791467724263E-002                  6.7000000000000037E-001                  2.9996807396223085E-001                                        0                                        2 
                                      40                                     1310                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.9789910292327200E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.9789910292327200E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2065146540702241E+000                  6.2156327445923001E-006                 -5.2065146540702241E+000                 -9.8999999999999986E+001                 -2.0594978441759018E+001                 -5.2065146540702241E+000                  6.2156327445923001E-006                 -5.2065146541300944E+000                 -1.5067088980720294E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6372882852493924E+000                  1.0257692012595694E-001                  2.9936505042869105E-001                  3.8393375264457510E+000                  0.0000000000000000E+000                  1.4761954877313334E+001                  4.6496675732041096E-002                  6.6016917326435243E+000                  6.3676329860487590E-001                  8.3500532100629477E-001                  1.3389885073860697E+000                  6.6999999999999982E-001                  2.9996807396223085E-001                  5.1703250411792310E-003                  1.4070791467724265E-002                  5.1703250411792344E-003                  1.4070791467724263E-002                  6.7000000000000037E-001                  2.9996807396223085E-001                                        0                                        2 
                                      45                                     1310                  1.8281309940044158E-001                 -1.5160251739045081E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.9912198844953424E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999928652505E-001                  2.9912198844953424E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2065145686981076E+000                  6.2156339664401404E-006                 -5.2065145686981076E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2065145686981076E+000                  6.2156339664401404E-006                 -5.2065145687579779E+000                 -1.5067088710821505E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6372882846705306E+000                  1.0257690010213572E-001                  2.9936504157450322E-001                  3.8393375441541266E+000                  0.0000000000000000E+000                  1.4761954912453533E+001                  4.6496702805250235E-002                  6.6016917407036750E+000                  6.3676329859792269E-001                  8.3500532100629477E-001                  1.3389885073860697E+000                  6.6999999999999971E-001                  2.9996807396223096E-001                  5.1703250411792318E-003                  1.4070791467724265E-002                  5.1703250411792344E-003                  1.4070791467724263E-002                  6.7000000000000015E-001                  2.9996807396223085E-001                                        0                                        2 
